ID_Local,País,UF,Cidade,Codigo
1124,Brasil,São Paulo,Cedral,BrasilSão PauloCedral
1125,Brasil,Maranhão,Cedral,BrasilMaranhãoCedral
1126,Brasil,Ceará,Cedro,BrasilCearáCedro
1127,Brasil,Pernambuco,Cedro,BrasilPernambucoCedro
1128,Brasil,Sergipe,Cedro de São João,BrasilSergipeCedro de São João
1129,Brasil,Tocantins,Centenário,BrasilTocantinsCentenário
1130,Brasil,Paraná,Centenário do Sul,BrasilParanáCentenário do Sul
1131,Brasil,Minas Gerais,Centralina,BrasilMinas GeraisCentralina
1132,Brasil,Maranhão,Centro Novo do Maranhão,BrasilMaranhãoCentro Novo do Maranhão
1133,Brasil,Rondônia,Cerejeiras,BrasilRondôniaCerejeiras
1134,Brasil,Goiás,Ceres,BrasilGoiásCeres
1135,Brasil,São Paulo,Cerqueira César,BrasilSão PauloCerqueira César
1136,Brasil,São Paulo,Cerquilho,BrasilSão PauloCerquilho
1137,Brasil,Paraná,Cerro Azul,BrasilParanáCerro Azul
1138,Brasil,Rio Grande do Sul,Cerro Branco,BrasilRio Grande do SulCerro Branco
1139,Brasil,Rio Grande do Norte,Cerro Cora,BrasilRio Grande do NorteCerro Cora
1140,Brasil,Rio Grande do Sul,Cerro Largo,BrasilRio Grande do SulCerro Largo
1141,Brasil,São Paulo,Cesário Lange,BrasilSão PauloCesário Lange
1142,Brasil,Paraná,Céu Azul,BrasilParanáCéu Azul
1143,Brasil,Goiás,Cezarina,BrasilGoiásCezarina
1144,Brasil,Pernambuco,Chã Grande,BrasilPernambucoChã Grande
1145,Brasil,Alagoas,Chã Preta,BrasilAlagoasChã Preta
1146,Brasil,Minas Gerais,Chalé,BrasilMinas GeraisChalé
1147,Brasil,Rio Grande do Sul,Chapada,BrasilRio Grande do SulChapada
1148,Brasil,Tocantins,Chapada da Natividade,BrasilTocantinsChapada da Natividade
1149,Brasil,Tocantins,Chapada de Areia,BrasilTocantinsChapada de Areia
1150,Brasil,Minas Gerais,Chapada do Norte,BrasilMinas GeraisChapada do Norte
1151,Brasil,Mato Grosso,Chapada dos Guimarães,BrasilMato GrossoChapada dos Guimarães
1152,Brasil,Minas Gerais,Chapada Gaúcha,BrasilMinas GeraisChapada Gaúcha
1153,Brasil,Goiás,Chapadão do Céu,BrasilGoiásChapadão do Céu
1154,Brasil,Santa Catarina,Chapadão do Lageado,BrasilSanta CatarinaChapadão do Lageado
1155,Brasil,Mato Grosso do Sul,Chapadão do Sul,BrasilMato Grosso do SulChapadão do Sul
1156,Brasil,Maranhão,Chapadinha,BrasilMaranhãoChapadinha
1157,Brasil,Santa Catarina,Chapecó,BrasilSanta CatarinaChapecó
1158,Brasil,Rio Grande do Sul,Charqueadas,BrasilRio Grande do SulCharqueadas
1159,Brasil,Rio Grande do Sul,Charrua,BrasilRio Grande do SulCharrua
1160,Brasil,Ceará,Chaval,BrasilCearáChaval
1161,Brasil,São Paulo,Chavantes,BrasilSão PauloChavantes
1162,Brasil,Pará,Chaves,BrasilParáChaves
1163,Brasil,Paraná,Chopinzinho,BrasilParanáChopinzinho
1164,Brasil,Ceará,Choró,BrasilCearáChoró
1165,Brasil,Ceará,Chorozinho,BrasilCearáChorozinho
1166,Brasil,Bahia,Chorrochó,BrasilBahiaChorrochó
1167,Brasil,Rio Grande do Sul,Chuí,BrasilRio Grande do SulChuí
1168,Brasil,Rondônia,Chupinguaia,BrasilRondôniaChupinguaia
1169,Brasil,Rio Grande do Sul,Chuvisca,BrasilRio Grande do SulChuvisca
1170,Brasil,Paraná,Cianorte,BrasilParanáCianorte
1171,Brasil,Bahia,Cícero Dantas,BrasilBahiaCícero Dantas
1172,Brasil,Goiás,Cidade de Goiás,BrasilGoiásCidade de Goiás
1173,Brasil,Goiás,Cidade Ocidental,BrasilGoiásCidade Ocidental
1174,Brasil,Maranhão,Cidelândia,BrasilMaranhãoCidelândia
1175,Brasil,Rio Grande do Sul,Cidreira,BrasilRio Grande do SulCidreira
1176,Brasil,Bahia,Cipó,BrasilBahiaCipó
1177,Brasil,Minas Gerais,Cipotânea,BrasilMinas GeraisCipotânea
1178,Brasil,Minas Gerais,Claraval,BrasilMinas GeraisClaraval
1179,Brasil,Mato Grosso,Cláudia,BrasilMato GrossoCláudia
1180,Brasil,Minas Gerais,Cláudio,BrasilMinas GeraisCláudio
1181,Brasil,Paraná,Clevelândia,BrasilParanáClevelândia
1182,Brasil,Bahia,Coaraci,BrasilBahiaCoaraci
1183,Brasil,Amazonas,Coari,BrasilAmazonasCoari
1184,Brasil,Piauí,Cocal,BrasilPiauíCocal
1185,Brasil,Santa Catarina,Cocal do Sul,BrasilSanta CatarinaCocal do Sul
1186,Brasil,Piauí,Cocal dos Alves,BrasilPiauíCocal dos Alves
1187,Brasil,Mato Grosso,Cocalinho,BrasilMato GrossoCocalinho
1188,Brasil,Goiás,Cocalzinho de Goiás,BrasilGoiásCocalzinho de Goiás
1189,Brasil,Bahia,Cocos,BrasilBahiaCocos
1190,Brasil,Amazonas,Codajás,BrasilAmazonasCodajás
1191,Brasil,Maranhão,Codó,BrasilMaranhãoCodó
1192,Brasil,Maranhão,Coelho Neto,BrasilMaranhãoCoelho Neto
1193,Brasil,Alagoas,Coité do Nóia,BrasilAlagoasCoité do Nóia
1194,Brasil,Piauí,Coivaras,BrasilPiauíCoivaras
1195,Brasil,Espírito Santo,Colatina,BrasilEspírito SantoColatina
1196,Brasil,Mato Grosso,Colíder,BrasilMato GrossoColíder
1197,Brasil,São Paulo,Colina,BrasilSão PauloColina
1198,Brasil,Rio Grande do Sul,Colinas,BrasilRio Grande do SulColinas
1199,Brasil,Maranhão,Colinas,BrasilMaranhãoColinas
1200,Brasil,Goiás,Colinas do Sul,BrasilGoiásColinas do Sul
1201,Brasil,Tocantins,Colinas do Tocantins,BrasilTocantinsColinas do Tocantins
1202,Brasil,Tocantins,Colméia,BrasilTocantinsColméia
1203,Brasil,Mato Grosso,Colniza,BrasilMato GrossoColniza
1204,Brasil,São Paulo,Colômbia,BrasilSão PauloColômbia
1205,Brasil,Paraná,Colombo,BrasilParanáColombo
1206,Brasil,Piauí,Colônia do Gurguéia,BrasilPiauíColônia do Gurguéia
1207,Brasil,Alagoas,Colônia Leopoldina,BrasilAlagoasColônia Leopoldina
1208,Brasil,Paraná,Colorado,BrasilParanáColorado
1209,Brasil,Rio Grande do Sul,Colorado,BrasilRio Grande do SulColorado
1210,Brasil,Rondônia,Colorado do Oeste,BrasilRondôniaColorado do Oeste
1211,Brasil,Minas Gerais,Coluna,BrasilMinas GeraisColuna
1212,Brasil,Tocantins,Combinado,BrasilTocantinsCombinado
1213,Brasil,Minas Gerais,Comendador Gomes,BrasilMinas GeraisComendador Gomes
1214,Brasil,Rio de Janeiro,Comendador Levy Gasparian,BrasilRio de JaneiroComendador Levy Gasparian
1215,Brasil,Minas Gerais,Comercinho,BrasilMinas GeraisComercinho
1216,Brasil,Mato Grosso,Comodoro,BrasilMato GrossoComodoro
1217,Brasil,Paraíba,Conceição,BrasilParaíbaConceição
1218,Brasil,Espírito Santo,Conceição da Barra,BrasilEspírito SantoConceição da Barra
1219,Brasil,Minas Gerais,Conceição da Barra de Minas,BrasilMinas GeraisConceição da Barra de Minas
1220,Brasil,Minas Gerais,Conceição das Alagoas,BrasilMinas GeraisConceição das Alagoas
1221,Brasil,Minas Gerais,Conceição das Pedras,BrasilMinas GeraisConceição das Pedras
1222,Brasil,Rio de Janeiro,Conceição de Macabu,BrasilRio de JaneiroConceição de Macabu
1223,Brasil,Pará,Conceição do Araguaia,BrasilParáConceição do Araguaia
1224,Brasil,Piauí,Conceição do Canindé,BrasilPiauíConceição do Canindé
1225,Brasil,Espírito Santo,Conceição do Castelo,BrasilEspírito SantoConceição do Castelo
1226,Brasil,Bahia,Conceição do Coité,BrasilBahiaConceição do Coité
1227,Brasil,Bahia,Conceição do Jacuípe,BrasilBahiaConceição do Jacuípe
1228,Brasil,Maranhão,Conceição do Lago-Açu,BrasilMaranhãoConceição do Lago-Açu
1229,Brasil,Minas Gerais,Conceição do Mato Dentro,BrasilMinas GeraisConceição do Mato Dentro
1230,Brasil,Minas Gerais,Conceição do Pará,BrasilMinas GeraisConceição do Pará
1231,Brasil,Minas Gerais,Conceição do Rio Verde,BrasilMinas GeraisConceição do Rio Verde
1232,Brasil,Tocantins,Conceição do Tocantins,BrasilTocantinsConceição do Tocantins
1233,Brasil,Minas Gerais,Conceição dos Ouros,BrasilMinas GeraisConceição dos Ouros
